,iid,tid,uprice,quantity
0,122,1853,0.99,1
1,123,1854,0.99,1
2,124,1857,0.99,1
3,125,1874,0.99,1
4,126,1875,0.99,1
5,127,1876,0.99,1
6,128,1877,0.99,1
7,129,1878,0.99,1
8,130,1882,0.99,1
9,131,1883,0.99,1
10,132,1884,0.99,1
11,133,1885,0.99,1
12,134,1886,0.99,1
13,135,688,0.99,1
14,136,689,0.99,1
15,137,690,0.99,1
16,138,691,0.99,1
17,139,692,0.99,1
18,140,693,0.99,1
19,141,694,0.99,1
20,142,695,0.99,1
21,143,696,0.99,1
22,144,697,0.99,1
23,145,698,0.99,1
24,146,1853,0.99,1
25,147,1876,0.99,1
